Well	Sample Name	Detector Name	Reporter	Task	Ct
66	38A	PITPNC1	SYBR	Unknown	23.128849
67	38A	PITPNC1	SYBR	Unknown	23.469833
70	39A	PITPNC1	SYBR	Unknown	Undetermined
71	39A	PITPNC1	SYBR	Unknown	21.97365
72	39A	PITPNC1	SYBR	Unknown	22.361383
73	42A	PITPNC1	SYBR	Unknown	Undetermined
74	42A	PITPNC1	SYBR	Unknown	24.391104
75	42A	PITPNC1	SYBR	Unknown	23.8821
289	42A3	PITPNC1	SYBR	Unknown	25.11815
290	42A3	PITPNC1	SYBR	Unknown	25.504873
291	42A3	PITPNC1	SYBR	Unknown	26.023087
81	59A	PITPNC1	SYBR	Unknown	27.276619
82	59A	PITPNC1	SYBR	Unknown	27.157469
83	59A	PITPNC1	SYBR	Unknown	27.039263
85	61A	PITPNC1	SYBR	Unknown	23.967585
86	61A	PITPNC1	SYBR	Unknown	22.427778
87	61A	PITPNC1	SYBR	Unknown	23.358032
89	67A	PITPNC1	SYBR	Unknown	26.758291
90	67A	PITPNC1	SYBR	Unknown	25.695581
91	67A	PITPNC1	SYBR	Unknown	27.237825
94	72A2	PITPNC1	SYBR	Unknown	25.711027
95	72A2	PITPNC1	SYBR	Unknown	25.747831
96	72A2	PITPNC1	SYBR	Unknown	25.636652
97	76A	PITPNC1	SYBR	Unknown	27.284502
98	76A	PITPNC1	SYBR	Unknown	27.619772
99	76A	PITPNC1	SYBR	Unknown	27.463741
101	81A	PITPNC1	SYBR	Unknown	26.964418
102	81A	PITPNC1	SYBR	Unknown	26.381508
103	81A	PITPNC1	SYBR	Unknown	26.706373
105	82A	PITPNC1	SYBR	Unknown	27.87682
106	82A	PITPNC1	SYBR	Unknown	27.796448
107	82A	PITPNC1	SYBR	Unknown	28.060375
137	N1 SCOMP	PITPNC1	SYBR	Unknown	26.883148
138	N1 SCOMP	PITPNC1	SYBR	Unknown	27.267513
139	N1 SCOMP	PITPNC1	SYBR	Unknown	26.37008
145	N34 WGA control	PITPNC1	SYBR	Unknown	23.406736
146	N34 WGA control	PITPNC1	SYBR	Unknown	23.747663
147	N34 WGA control	PITPNC1	SYBR	Unknown	23.082912
142	N34 control	PITPNC1	SYBR	Unknown	22.47544
143	N34 control	PITPNC1	SYBR	Unknown	22.192081
144	N34 control	PITPNC1	SYBR	Unknown	23.693386
149	None template control	PITPNC1	SYBR	Unknown	Undetermined
150	None template control	PITPNC1	SYBR	Unknown	Undetermined
151	None template control	PITPNC1	SYBR	Unknown	Undetermined
